Date,Country,Confirmed,Deaths,Recovered,Active
6/25/20,Afghanistan,30175,675,10174,19326
6/25/20,Albania,2192,49,1250,893
6/25/20,Algeria,12445,878,8920,2647
6/25/20,Andorra,855,52,797,6
6/25/20,Angola,212,10,81,121
6/25/20,Antigua and Barbuda,65,3,22,40
6/25/20,Argentina,52457,1150,14788,36519
6/25/20,Armenia,22488,397,11335,10756
6/25/20,Australia,7595,104,6958,533
6/25/20,Austria,17477,698,16320,459
6/25/20,Azerbaijan,14852,180,8059,6613
6/25/20,Bahamas,104,11,84,9
6/25/20,Bahrain,24081,71,18501,5509
6/25/20,Bangladesh,126606,1621,51495,73490
6/25/20,Barbados,97,7,85,5
6/25/20,Belarus,60382,367,41448,18567
6/25/20,Belgium,61007,9726,16890,34391
6/25/20,Belize,23,2,17,4
6/25/20,Benin,1017,14,288,715
6/25/20,Bhutan,70,0,34,36
6/25/20,Bolivia,28503,913,7338,20252
6/25/20,Bosnia and Herzegovina,3796,175,2322,1299
6/25/20,Botswana,92,1,25,66
6/25/20,Brazil,1228114,54971,679524,493619
6/25/20,Brunei,141,3,138,0
6/25/20,Bulgaria,4408,211,2370,1827
6/25/20,Burkina Faso,934,53,826,55
6/25/20,Burma,293,6,211,76
6/25/20,Burundi,144,1,93,50
6/25/20,Cabo Verde,1003,8,562,433
6/25/20,Cambodia,130,0,127,3
6/25/20,Cameroon,12592,313,10100,2179
6/25/20,Canada,104450,8566,0,95884
6/25/20,Central African Republic,3244,40,607,2597
6/25/20,Chad,863,74,774,15
6/25/20,Chile,259064,4903,219327,34834
6/25/20,China,84701,4641,79572,488
6/25/20,Colombia,77313,2611,31729,42973
6/25/20,Comoros,272,7,161,104
6/25/20,Congo (Brazzaville),1087,37,456,594
6/25/20,Congo (Kinshasa),6411,142,885,5384
6/25/20,Costa Rica,2684,12,1227,1445
6/25/20,Cote d'Ivoire,8334,60,3487,4787
6/25/20,Croatia,2483,107,2149,227
6/25/20,Cuba,2321,85,2171,65
6/25/20,Cyprus,992,19,824,149
6/25/20,Czechia,10870,345,7649,2876
6/25/20,Denmark,12836,603,11660,573
6/25/20,Djibouti,4635,52,4269,314
6/25/20,Dominica,18,0,18,0
6/25/20,Dominican Republic,29141,698,16223,12220
6/25/20,Ecuador,53156,4343,26097,22716
6/25/20,Egypt,61130,2533,16338,42259
6/25/20,El Salvador,5336,126,3116,2094
6/25/20,Equatorial Guinea,2001,32,515,1454
6/25/20,Eritrea,144,0,39,105
6/25/20,Estonia,1984,69,1790,125
6/25/20,Eswatini,706,8,347,351
6/25/20,Ethiopia,5175,81,1544,3550
6/25/20,Fiji,18,0,18,0
6/25/20,Finland,7172,327,6600,245
6/25/20,France,198607,29755,75475,93377
6/25/20,Gabon,5087,40,2270,2777
6/25/20,Gambia,43,2,26,15
6/25/20,Georgia,917,14,776,127
6/25/20,Germany,193371,8940,176764,7667
6/25/20,Ghana,15473,95,11431,3947
